 1.00000000e-01  1.00000000e-01  0.00000000e+00  1.00000000e-01 -2.90828478e+01 
 1.02329299e-01  1.02329299e-01  0.00000000e+00  1.02329299e-01 -2.90828478e+01 
 1.04712855e-01  1.04712855e-01  0.00000000e+00  1.04712855e-01 -2.90828478e+01 
 1.07151931e-01  1.07151931e-01  0.00000000e+00  1.07151931e-01 -2.90828478e+01 
 1.09647820e-01  1.09647820e-01  0.00000000e+00  1.09647820e-01 -2.90828478e+01 
 1.12201845e-01  1.12201845e-01  0.00000000e+00  1.12201845e-01 -2.90828478e+01 
 1.14815362e-01  1.14815362e-01  0.00000000e+00  1.14815362e-01 -2.90828478e+01 
 1.17489755e-01  1.17489755e-01  0.00000000e+00  1.17489755e-01 -2.90828478e+01 
 1.20226443e-01  1.20226443e-01  0.00000000e+00  1.20226443e-01 -2.90828478e+01 
 1.23026877e-01  1.23026877e-01  0.00000000e+00  1.23026877e-01 -2.90828478e+01 
 1.25892541e-01  1.25892541e-01  0.00000000e+00  1.25892541e-01 -2.90828478e+01 
 1.28824955e-01  1.28824955e-01  0.00000000e+00  1.28824955e-01 -2.90828478e+01 
 1.31825674e-01  1.31825674e-01  0.00000000e+00  1.31825674e-01 -2.90828478e+01 
 1.34896288e-01  1.34896288e-01  0.00000000e+00  1.34896288e-01 -2.90828478e+01 
 1.38038426e-01  1.38038426e-01  0.00000000e+00  1.38038426e-01 -2.90828478e+01 
 1.41253754e-01  1.41253754e-01  0.00000000e+00  1.41253754e-01 -2.90828478e+01 
 1.44543977e-01  1.44543977e-01  0.00000000e+00  1.44543977e-01 -2.90828478e+01 
 1.47910839e-01  1.47910839e-01  0.00000000e+00  1.47910839e-01 -2.90828478e+01 
 1.51356125e-01  1.51356125e-01  0.00000000e+00  1.51356125e-01 -2.90828478e+01 
 1.54881662e-01  1.54881662e-01  0.00000000e+00  1.54881662e-01 -2.90828478e+01 
 1.58489319e-01  1.58489319e-01  0.00000000e+00  1.58489319e-01 -2.90828478e+01 
 1.62181010e-01  1.62181010e-01  0.00000000e+00  1.62181010e-01 -2.90828478e+01 
 1.65958691e-01  1.65958691e-01  0.00000000e+00  1.65958691e-01 -2.90828478e+01 
 1.69824365e-01  1.69824365e-01  0.00000000e+00  1.69824365e-01 -2.90828478e+01 
 1.73780083e-01  1.73780083e-01  0.00000000e+00  1.73780083e-01 -2.90828478e+01 
 1.77827941e-01  1.77827941e-01  0.00000000e+00  1.77827941e-01 -2.90828478e+01 
 1.81970086e-01  1.81970086e-01  0.00000000e+00  1.81970086e-01 -2.90828478e+01 
 1.86208714e-01  1.86208714e-01  0.00000000e+00  1.86208714e-01 -2.90828478e+01 
 1.90546072e-01  1.90546072e-01  0.00000000e+00  1.90546072e-01 -2.90828478e+01 
 1.94984460e-01  1.94984460e-01  0.00000000e+00  1.94984460e-01 -2.90828478e+01 
 1.99526231e-01  1.99526231e-01  0.00000000e+00  1.99526231e-01 -2.90828478e+01 
 2.04173794e-01  2.04173794e-01  0.00000000e+00  2.04173794e-01 -2.90828478e+01 
 2.08929613e-01  2.08929613e-01  0.00000000e+00  2.08929613e-01 -2.90828478e+01 
 2.13796209e-01  2.13796209e-01  0.00000000e+00  2.13796209e-01 -2.90828478e+01 
 2.18776162e-01  2.18776162e-01  0.00000000e+00  2.18776162e-01 -2.90828478e+01 
 2.23872114e-01  2.23872114e-01  0.00000000e+00  2.23872114e-01 -2.90828478e+01 
 2.29086765e-01  2.29086765e-01  0.00000000e+00  2.29086765e-01 -2.90828478e+01 
 2.34422882e-01  2.34422882e-01  0.00000000e+00  2.34422882e-01 -2.90828478e+01 
 2.39883292e-01  2.39883292e-01  0.00000000e+00  2.39883292e-01 -2.90828478e+01 
 2.45470892e-01  2.45470892e-01  0.00000000e+00  2.45470892e-01 -2.90828478e+01 
 2.51188643e-01  2.51188643e-01  0.00000000e+00  2.51188643e-01 -2.90828478e+01 
 2.57039578e-01  2.57039578e-01  0.00000000e+00  2.57039578e-01 -2.90828478e+01 
 2.63026799e-01  2.63026799e-01  0.00000000e+00  2.63026799e-01 -2.90828478e+01 
 2.69153480e-01  2.69153480e-01  0.00000000e+00  2.69153480e-01 -2.90828478e+01 
 2.75422870e-01  2.75422870e-01  0.00000000e+00  2.75422870e-01 -2.90828478e+01 
 2.81838293e-01  2.81838293e-01  0.00000000e+00  2.81838293e-01 -2.90828478e+01 
 2.88403150e-01  2.88403150e-01  0.00000000e+00  2.88403150e-01 -2.90828478e+01 
 2.95120923e-01  2.95120923e-01  0.00000000e+00  2.95120923e-01 -2.90828478e+01 
 3.01995172e-01  3.01995172e-01  0.00000000e+00  3.01995172e-01 -2.90828478e+01 
 3.09029543e-01  3.09029543e-01  0.00000000e+00  3.09029543e-01 -2.90828478e+01 
 3.16227766e-01  3.16227766e-01  0.00000000e+00  3.16227766e-01 -2.90828478e+01 
 3.23593657e-01  3.23593657e-01  0.00000000e+00  3.23593657e-01 -2.90828478e+01 
 3.31131121e-01  3.31131121e-01  0.00000000e+00  3.31131121e-01 -2.90828478e+01 
 3.38844156e-01  3.38844156e-01  0.00000000e+00  3.38844156e-01 -2.90828478e+01 
 3.46736850e-01  3.46736850e-01  0.00000000e+00  3.46736850e-01 -2.90828478e+01 
 3.54813389e-01  3.54813389e-01  0.00000000e+00  3.54813389e-01 -2.90828478e+01 
 3.63078055e-01  3.63078055e-01  0.00000000e+00  3.63078055e-01 -2.90828478e+01 
 3.71535229e-01  3.71535229e-01  0.00000000e+00  3.71535229e-01 -2.90828478e+01 
 3.80189396e-01  3.80189396e-01  0.00000000e+00  3.80189396e-01 -2.90828478e+01 
 3.89045145e-01  3.89045145e-01  0.00000000e+00  3.89045145e-01 -2.90828478e+01 
 3.98107171e-01  3.98107171e-01  0.00000000e+00  3.98107171e-01 -2.90828478e+01 
 4.07380278e-01  4.07380278e-01  0.00000000e+00  4.07380278e-01 -2.90828478e+01 
 4.16869383e-01  4.16869383e-01  0.00000000e+00  4.16869383e-01 -2.90828478e+01 
 4.26579519e-01  4.26579519e-01  0.00000000e+00  4.26579519e-01 -2.90828478e+01 
 4.36515832e-01  4.36515832e-01  0.00000000e+00  4.36515832e-01 -2.90828478e+01 
 4.46683592e-01  4.46683592e-01  0.00000000e+00  4.46683592e-01 -2.90828478e+01 
 4.57088190e-01  4.57088190e-01  0.00000000e+00  4.57088190e-01 -2.90828478e+01 
